S. No.,Name of the District
1,ARIYALUR
2,CHENGALPATTU
3,CHENNAI
4,COIMBATORE
5,CUDDALORE
6,DHARMAPURI
7,DINDIGUL
8,ERODE
9,KALLAKURICHI
10,KANCHIPURAM
11,KARUR
12,KRISHNAGIRI
13,MADURAI
14,MAYILADUTHURAI
15,NAGAPATTINAM
16,KANYAKUMARI
17,NAMAKKAL
18,PERAMBALUR
19,PUDUKKOTTAI
20,RAMANATHAPURAM
21,RANIPET
22,SALEM
23,SIVAGANGAI
24,TENKASI
25,THANJAVUR
26,THENI
27,THIRUVALLUR
28,THIRUVARUR
29,TUTICORIN
30,TRICHIRAPPALLI
31,THIRUNELVELI
32,TIRUPATTUR
33,TIRUPPUR
34,THIRUVANNAMALAI
35,THE NILGIRIS
36,VELLORE
37,VILUPPURAM
38,VIRUDHUNAGAR
